[2024-05-11 09:51:56] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-05-11 09:51:56] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, transfer_files_locally, wrapup
[2024-05-11 09:51:56] [class-ss-archive-creation-job.php:98] Pushing first task to queue: setup
[2024-05-11 09:51:59] [class-ss-archive-creation-job.php:132] Current task: setup
[2024-05-11 09:51:59] [class-ss-archive-creation-job.php:149] Performing task: setup
[2024-05-11 09:51:59] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-05-11 09:52:01] [class-ss-setup-task.php:33] Creating archive directory: C:\xampp\htdocs\mehrteen/wp-content/uploads\simply-static\temp-files/simply-static-1-1715421116\
[2024-05-11 09:52:01] [class-ss-setup-task.php:79] Adding origin URL to queue: http://localhost/mehrteen/
[2024-05-11 09:52:01] [class-ss-setup-task.php:137] File C:\xampp\htdocs\mehrteen\wp-content\plugins\simply-static//src/integrations/simply-cdn/assets/ssh-form-webhook.js exists; adding to queue as: C:/xampp/htdocs/mehrteen/wp-content/plugins/simply-static//src/integrations/simply-cdn/assets/ssh-form-webhook.js
[2024-05-11 09:52:01] [class-yoast-integration.php:41] Adding sitemap URL to queue: http://localhost/mehrteen/sitemap.xml
[2024-05-11 09:52:01] [class-yoast-integration.php:41] Adding sitemap URL to queue: http://localhost/mehrteen/sitemap_index.xml
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/dom-to-image/js/dom-to-image.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/dom-to-image/js/dom-to-image.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/font-awesome-pro/brands.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/font-awesome-pro/duotone.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/font-awesome-pro/light.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/font-awesome-pro/regular.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/font-awesome-pro/solid.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/html2canvas/js/html2canvas.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/html2canvas/js/html2canvas.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/instant-page/instant-page.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/instant-page/instant-page.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/lottie/lottie.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/lottie/lottie.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/1b816ba777b14157325b.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/4abfbfd970d6f7680bc7.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/60745ddf42fde6647dbc.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/60745ddf42fde6647dbc.bundle.min.js.LICENSE.txt
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/98217e0c00e1f53421ef.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/admin.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/admin.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/ajax-pagination.a8dae0f5699fe9733e7d.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/ajax-pagination.bc400e6cb24a14a2ea97.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/animated-headline.3efc6517c2a055f6c242.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/animated-headline.e4c2ed3934d0df18c40a.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/app.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/app.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/archive-posts.0aae8c3bd7d196797b6c.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/archive-posts.d30c917134774f65dd6d.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/carousel.998a291abf70435fd698.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/carousel.9b02b45d7826c1c48f33.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/code-highlight.28a979661569ddbbf60d.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/code-highlight.8b676d9a001f56fb77fa.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/countdown.60cf02eaf22d71d83f3d.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/countdown.be941c879efa861dbbfa.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/custom-code.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/custom-code.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/display-conditions.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/display-conditions.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/editor.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/editor.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/elements-handlers.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/form-submission-admin.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/form-submission-admin.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/form.10bf1a6475f0741920ff.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/form.efd3434e4ecbe4dd5fc6.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/frontend.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/frontend.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/gallery.805130d33e18cb04635f.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/gallery.8ca9a354ce039d1ba641.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/gutenberg-woocommerce-notice.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/gutenberg-woocommerce-notice.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/hotspot.6ab1751404c381bfe390.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/hotspot.70886883c622dd8d5eb2.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/jszip.vendor.99a5b769619f50a6cb60.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/jszip.vendor.99a5b769619f50a6cb60.bundle.min.js.LICENSE.txt
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/jszip.vendor.a3c65615c1de5560962d.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/load-more.ad89e46f2f6bfd9c27e8.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/load-more.bc9573b5d1f73abd80b9.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/loop-carousel.4e8fd6593adbba21698e.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/loop-carousel.827a11bd7f1b0343de42.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/loop-filter-editor.21982d6e76a4fba12cd5.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/loop-filter-editor.d1bae86a5ed21c0e9981.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/loop.c4d9f09c7596d4e1df61.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/loop.e45e73509acb0a350776.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/lottie.565b778d23c04461c4ea.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/lottie.a00fda0bbf10f9b99eae.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/media-carousel.aca2224ef13e6f999011.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/media-carousel.d8417210e0b731dd32b8.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/mega-menu-editor.319a739ef1260a2b2da1.bundle.min.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/mega-menu-editor.bbef3f7412481cbce555.bundle.js
[2024-05-11 09:52:01] [class-elementor-pro-integration.php:61] Adding elementor bundle asset to queue: http://localhost/mehrteen/wp-content/plugins/elementor-pro/assets/js/mega-menu-stretch-content.4648b25d00c1f94cec4e.bundle.js
